longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,target
1,7,8,7,6,5,7,8,0,292300.0
1,7,8,8,7,7,7,9,0,411500.0
1,7,5,5,3,2,3,8,0,311500.0
1,7,6,7,5,4,6,9,0,325900.0
1,7,2,3,1,1,1,9,0,392600.0
1,7,6,6,5,4,5,9,0,319300.0
1,7,6,8,8,7,8,8,0,333300.0
1,7,4,2,0,0,1,9,0,335200.0
1,7,4,3,1,1,1,9,0,351200.0
1,7,5,3,2,1,2,8,0,368900.0
1,7,5,3,1,1,2,9,0,365900.0
1,7,7,1,0,0,0,9,0,366700.0
1,7,7,8,6,5,6,8,0,362800.0
1,7,5,0,0,0,0,8,0,483300.0
1,7,10,5,3,2,3,9,0,331400.0
1,7,8,7,4,4,5,8,0,323500.0
1,7,9,6,7,5,6,3,0,216700.0
1,7,7,5,6,3,6,3,0,233100.0
1,7,10,2,1,1,1,8,0,296400.0
1,7,10,4,3,2,3,8,0,273700.0
1,7,10,5,5,4,5,4,0,227700.0
1,7,10,5,5,4,5,3,0,199600.0
1,7,10,6,6,5,6,7,0,239800.0
1,7,10,4,3,2,3,6,0,270100.0
1,7,10,7,6,4,6,8,0,302100.0
1,7,10,4,5,2,5,4,0,269500.0
1,7,10,2,1,1,1,7,0,314700.0
1,7,10,6,4,4,4,9,0,390100.0
1,7,10,5,2,3,2,9,0,410300.0
1,7,10,5,2,3,3,8,0,352400.0
1,7,10,2,1,1,2,8,0,287300.0
1,7,10,6,3,3,3,9,0,348700.0
1,7,10,4,6,3,6,2,0,243800.0
1,7,10,0,0,0,0,1,0,211500.0
1,7,10,4,6,5,6,3,0,218400.0
1,7,10,6,5,4,6,5,0,269900.0
1,7,9,7,8,6,8,4,0,218800.0
1,7,8,8,8,7,8,3,0,225000.0
1,7,8,5,8,5,8,1,0,250000.0
1,7,8,2,5,4,5,0,0,171400.0
1,7,5,5,8,5,8,0,0,193800.0
1,7,4,3,5,4,5,1,0,125000.0
1,7,8,3,6,6,5,0,0,97500.0
1,7,9,0,1,2,1,2,0,125000.0
1,7,10,2,4,4,4,1,0,138800.0
1,7,7,3,7,7,6,1,0,116700.0
1,7,8,5,7,7,7,0,0,151800.0
1,7,10,1,1,2,1,1,0,127000.0
1,7,10,3,3,4,3,1,0,128600.0
1,7,10,2,4,3,3,1,0,140600.0
1,7,9,4,6,5,6,2,0,182700.0
1,7,10,1,2,2,2,2,0,146900.0
1,7,10,3,4,5,4,3,0,122800.0
1,7,9,6,8,6,8,2,0,169300.0
1,7,10,0,0,1,1,1,0,126600.0
1,7,9,3,4,3,4,1,0,127900.0
1,7,9,3,5,4,5,1,0,123500.0
1,7,10,1,2,2,2,2,0,111900.0
1,7,8,8,8,9,8,1,0,112800.0
1,7,10,3,4,7,4,3,0,107900.0
1,7,5,1,1,3,2,1,0,137500.0
1,7,7,2,4,6,4,1,0,105500.0
1,7,9,2,4,5,2,1,0,95500.0
1,7,10,0,0,1,0,4,0,116100.0
1,7,8,3,3,5,3,1,0,112200.0
1,7,9,0,0,0,0,1,0,75000.0
1,7,7,0,0,0,0,0,0,112500.0
1,7,10,1,1,2,1,5,0,125000.0
1,7,2,5,8,7,8,0,0,115000.0
1,7,10,0,0,1,0,0,0,95000.0
1,7,10,1,2,3,2,2,0,96400.0
1,7,10,0,1,1,1,2,0,72000.0
1,7,10,0,0,0,0,2,0,71300.0
1,7,10,0,1,3,1,3,0,80800.0
1,7,9,4,6,6,6,0,0,128800.0
1,7,8,2,5,6,5,1,0,112500.0
1,7,10,1,1,3,2,0,0,119400.0
1,7,8,5,8,8,8,0,0,118100.0
1,7,9,3,4,6,3,1,0,122500.0
1,7,9,1,1,3,1,1,0,106300.0
1,7,7,5,6,7,6,1,0,132500.0
1,7,5,0,0,0,0,0,0,122700.0
1,7,8,1,1,1,1,0,0,113300.0
1,7,8,2,2,3,2,4,0,109500.0
1,7,10,7,7,8,8,5,0,164700.0
1,7,10,0,1,1,1,3,0,125000.0
1,7,9,5,6,7,6,2,0,124700.0
1,7,9,3,5,5,5,2,0,136700.0
1,7,7,7,7,8,7,3,0,141700.0
1,7,5,3,3,3,3,3,0,150000.0
1,7,9,2,2,3,2,3,0,138800.0
1,7,6,5,6,6,6,3,0,139200.0
1,7,6,3,4,4,4,3,0,143800.0
1,7,7,4,5,4,5,3,0,156500.0
1,7,7,4,5,5,5,3,0,151000.0
1,7,8,7,5,4,5,7,0,273000.0
1,7,10,2,2,2,2,7,0,217100.0
1,7,10,7,7,7,8,4,0,187100.0
1,7,8,4,3,2,3,7,0,239600.0
1,7,9,2,1,1,1,6,0,229700.0
1,7,9,3,1,1,1,7,0,257300.0
1,7,9,4,3,2,3,6,0,246900.0
1,7,9,1,1,0,1,3,0,179900.0
1,7,8,1,1,1,1,6,0,169600.0
1,7,9,4,4,4,4,5,0,203300.0
1,7,10,3,2,1,2,6,0,263400.0
1,7,8,6,5,4,5,7,0,231800.0
1,7,4,7,8,7,7,3,0,140500.0
1,7,6,3,5,3,4,1,0,126000.0
1,7,9,0,1,2,1,2,0,122000.0
1,7,8,3,5,5,6,2,0,134700.0
1,7,8,4,6,6,5,2,0,139400.0
1,7,8,4,6,6,6,3,0,115400.0
1,7,9,5,6,6,7,2,0,137300.0
1,7,10,2,2,4,2,1,0,137000.0
1,7,10,1,1,2,1,2,0,142600.0
1,7,9,1,1,2,1,3,0,137500.0
1,7,8,7,7,8,7,2,0,111700.0
1,7,8,3,5,5,4,0,0,126800.0
1,7,9,0,1,2,1,2,0,111300.0
1,7,8,0,0,1,0,3,0,114800.0
1,7,9,3,5,7,5,0,0,102300.0
1,7,8,3,6,7,6,1,0,131900.0
1,7,9,3,5,6,4,2,0,119100.0
1,7,10,2,2,4,2,0,0,80600.0
1,7,10,0,0,0,0,6,0,80600.0
1,7,10,0,0,0,0,2,0,88800.0
1,7,9,5,5,7,6,2,0,102400.0
1,7,9,1,3,5,3,1,0,98700.0
1,7,8,1,3,2,2,1,0,100000.0
1,7,8,1,1,3,2,0,0,92300.0
1,7,7,6,6,7,6,1,0,94800.0
1,7,8,2,4,4,3,1,0,102000.0
1,7,10,5,5,5,5,5,0,158400.0
1,7,7,3,4,4,4,3,0,121600.0
1,7,9,4,4,4,4,2,0,129100.0
1,7,8,5,5,6,6,3,0,121400.0
1,7,8,3,4,5,4,1,0,102800.0
1,7,10,1,0,0,0,3,0,160000.0
1,7,10,5,4,4,5,4,0,143900.0
1,7,10,5,5,4,5,4,0,151200.0
1,7,10,6,4,4,4,6,0,164400.0
1,7,10,5,4,3,4,4,0,156500.0
1,7,6,0,0,1,0,5,0,225000.0
1,7,9,1,1,1,1,8,0,174200.0
1,7,10,1,1,1,1,5,0,166900.0
1,7,8,3,3,3,3,7,0,163500.0
1,7,7,0,0,0,0,8,0,253000.0
1,7,8,2,1,1,1,9,0,240700.0
1,7,9,4,4,3,3,6,0,208100.0
1,7,9,1,1,1,2,3,0,198100.0
1,7,9,1,1,1,1,2,0,172800.0
1,7,7,3,1,1,2,8,0,336700.0
1,7,6,2,1,0,1,8,0,318200.0
1,7,3,5,3,3,3,8,0,285800.0
1,7,3,5,2,3,3,9,0,293000.0
1,7,3,9,9,9,9,8,0,371000.0
1,7,8,2,1,1,2,5,0,157300.0
1,7,5,7,8,7,8,3,0,135300.0
1,7,8,4,5,4,4,4,0,136700.0
1,7,9,3,2,2,2,4,0,160700.0
1,7,9,1,0,0,1,5,0,140600.0
1,7,10,0,0,0,0,6,0,144000.0
1,7,9,1,5,1,1,6,0,161900.0
1,7,9,1,1,0,1,7,0,156300.0
1,7,8,5,4,3,4,5,0,176000.0
1,7,7,2,3,2,3,3,0,145800.0
1,7,7,3,3,3,3,4,0,141900.0
1,7,5,5,6,5,5,1,0,90700.0
1,7,8,3,3,4,3,1,0,90600.0
1,7,9,4,4,3,4,1,0,107900.0
1,7,7,2,3,3,3,1,0,107000.0
1,7,7,3,4,3,3,2,0,98200.0
1,7,9,1,1,3,1,1,0,89500.0
1,7,10,0,0,0,0,5,0,93800.0
1,7,9,5,5,5,5,1,0,96700.0
1,7,4,1,1,0,0,1,0,97500.0
1,7,8,1,1,3,2,3,0,97300.0
1,7,8,4,4,4,4,1,0,91200.0
1,7,9,2,2,2,2,0,0,91400.0
1,7,10,6,6,6,6,1,0,96200.0
1,7,9,4,5,4,5,4,0,120100.0
1,7,10,3,3,4,4,1,0,100000.0
1,7,10,4,4,4,3,2,0,94700.0
1,7,9,1,1,2,2,0,0,85700.0
1,7,8,4,6,6,5,1,0,89300.0
1,7,8,3,4,4,3,2,0,101400.0
1,7,8,1,1,1,0,0,0,72500.0
1,7,8,1,1,1,1,1,0,74100.0
1,7,7,0,0,1,0,0,0,70000.0
1,7,7,6,8,7,7,0,0,84600.0
1,7,7,2,3,4,3,0,0,81800.0
1,7,2,5,6,6,6,0,0,81400.0
1,7,4,0,1,0,0,0,0,81800.0
1,7,4,1,2,3,2,1,0,85800.0
1,7,7,0,1,1,0,0,0,87100.0
1,7,8,0,0,0,0,1,0,83500.0
1,7,8,1,1,2,1,1,0,79700.0
1,7,8,0,0,0,0,2,0,83400.0
1,7,8,2,2,2,2,0,0,84700.0
1,7,8,1,1,1,1,3,0,80000.0
1,7,8,2,2,2,2,2,0,76400.0
1,7,8,0,0,0,0,1,0,79700.0
1,7,8,8,8,8,8,2,0,82400.0
1,7,8,3,5,6,5,2,0,97700.0
1,7,9,0,0,0,0,1,0,97200.0
1,7,8,0,1,1,1,2,0,101600.0
1,7,8,2,3,5,3,1,0,86500.0
1,7,6,0,0,0,0,1,0,90500.0
1,7,9,1,1,2,1,3,0,107600.0
1,7,9,0,0,1,1,1,0,84200.0
1,7,9,4,4,5,3,1,0,88900.0
1,7,8,0,0,0,0,6,0,80700.0
1,7,9,1,1,1,1,0,0,87100.0
1,7,7,1,5,2,2,0,0,85100.0
1,7,8,1,1,3,2,1,0,82000.0
1,7,7,1,1,1,0,1,0,82800.0
1,7,8,1,1,1,1,1,0,84600.0
1,7,7,1,1,1,0,0,0,82100.0
1,7,6,1,2,3,2,2,0,89300.0
1,7,8,2,2,3,2,1,0,98300.0
1,7,8,1,2,2,1,2,0,92300.0
1,7,8,1,1,2,2,1,0,88800.0
1,7,9,3,4,3,3,0,0,90000.0
1,7,8,5,6,6,6,2,0,95500.0
1,7,7,5,7,6,6,0,0,91700.0
1,7,9,1,1,1,1,4,0,100400.0
1,7,8,3,3,3,3,1,0,94800.0
1,7,9,3,2,3,2,7,0,164300.0
1,7,7,6,6,6,6,2,0,155500.0
1,7,7,3,2,2,2,8,0,196900.0
1,7,4,5,3,5,3,7,0,279100.0
1,7,6,2,1,1,1,8,0,252800.0
1,7,4,7,5,5,6,8,0,275400.0
1,7,6,3,1,2,1,8,0,250000.0
1,7,4,0,0,0,0,9,0,329800.0
1,7,7,0,0,0,0,6,0,195500.0
1,7,6,2,1,1,1,8,0,255900.0
1,7,5,0,0,0,0,7,0,311100.0
1,7,7,0,0,0,0,8,0,330000.0
1,7,8,8,7,6,7,7,0,248900.0
1,7,9,1,0,0,0,3,0,142900.0
1,7,8,2,1,2,2,5,0,126300.0
1,7,8,4,4,3,3,4,0,135800.0
1,7,8,0,0,1,1,3,0,130600.0
1,7,3,3,5,4,4,2,0,107900.0
1,7,8,0,0,0,0,2,0,111100.0
1,7,8,2,2,2,2,4,0,122000.0
1,7,9,2,2,2,2,4,0,118000.0
1,7,8,1,2,3,2,1,0,95200.0
1,7,6,0,0,0,0,5,0,94300.0
1,7,6,1,2,2,2,1,0,92500.0
1,7,7,2,2,2,2,2,0,91800.0
1,7,8,2,2,2,2,6,0,109400.0
1,7,9,1,0,1,1,4,0,129500.0
1,7,10,0,0,0,0,6,0,143400.0
1,7,9,0,1,1,0,2,0,98200.0
1,7,8,1,1,1,1,1,0,103100.0
1,8,9,1,1,1,1,4,0,276800.0
1,8,10,3,1,1,2,8,0,270900.0
1,8,10,5,4,3,4,4,0,246200.0
1,8,7,5,6,4,6,4,0,224200.0
1,8,10,2,3,1,3,3,0,229100.0
1,8,9,2,4,2,4,3,0,211600.0
1,8,1,8,8,8,8,7,0,256100.0
1,8,7,1,2,1,2,3,0,206300.0
1,8,10,1,2,1,2,6,0,221300.0
1,8,8,2,2,1,2,7,0,207400.0
1,8,7,7,8,8,8,0,0,350000.0
1,8,10,7,7,6,8,4,0,218200.0
1,8,9,1,1,1,1,5,0,216700.0
1,8,10,1,0,0,0,7,0,270600.0
1,8,10,5,4,3,4,7,0,261400.0
1,8,10,3,3,2,3,6,0,261300.0
1,8,10,5,4,3,5,7,0,232200.0
1,8,8,3,2,1,2,8,0,375400.0
1,8,10,4,2,2,2,9,0,357300.0
1,8,10,4,2,1,2,9,0,374400.0
1,8,10,3,1,1,1,8,0,358800.0
1,8,10,4,2,1,2,9,0,417500.0
1,8,10,7,3,3,4,9,0,430500.0
1,8,10,5,3,2,3,9,0,362900.0
1,8,10,4,1,1,1,9,0,397000.0
1,8,10,5,3,2,3,7,0,346800.0
1,8,10,1,0,0,0,8,0,327100.0
1,8,10,5,4,2,4,7,0,290100.0
1,8,10,4,3,2,2,8,0,292000.0
1,8,10,6,5,4,6,6,0,270900.0
1,8,10,6,3,3,3,9,0,371100.0
1,8,10,4,2,2,2,8,0,335600.0
1,8,7,5,3,3,4,9,0,371300.0
1,8,8,1,1,0,1,8,0,344000.0
1,8,10,7,5,3,5,8,0,342200.0
1,8,10,8,6,5,6,8,0,370900.0
1,8,7,7,5,3,5,9,0,350000.0
1,8,8,6,5,4,5,8,0,368600.0
1,8,10,6,4,3,4,8,0,391800.0
1,8,10,5,4,2,4,8,0,415300.0
1,8,10,7,7,5,7,6,0,284900.0
1,8,10,3,4,1,4,5,0,287500.0
1,8,8,5,6,3,6,3,0,272900.0
1,8,10,6,5,4,5,6,0,259600.0
1,8,10,1,1,1,1,6,0,254500.0
1,8,10,1,1,1,1,5,0,235600.0
1,8,10,5,4,2,4,5,0,218400.0
1,8,9,5,5,4,5,3,0,229200.0
1,8,9,4,5,3,5,3,0,192100.0
1,8,10,3,4,2,4,5,0,179300.0
1,8,8,0,0,2,0,0,0,187500.0
1,8,10,0,0,0,0,0,0,138800.0
1,7,0,0,0,0,0,1,0,150000.0
1,7,9,0,0,0,0,2,0,140600.0
1,7,10,0,0,0,0,2,0,120000.0
1,8,9,3,3,2,3,3,0,144800.0
1,7,10,7,8,7,8,1,0,144800.0
1,8,10,1,1,0,0,4,0,245500.0
1,7,10,0,0,0,0,4,0,200000.0
1,7,9,4,6,3,6,1,0,173700.0
1,7,9,3,6,4,6,2,0,185600.0
1,7,10,1,1,0,1,5,0,182600.0
1,8,10,4,4,2,4,3,0,227900.0
1,7,9,7,7,5,8,2,0,220700.0
1,7,9,3,5,2,5,3,0,212000.0
1,8,10,6,8,6,8,1,0,271400.0
1,7,5,2,5,3,5,0,0,268800.0
1,8,7,6,7,4,7,2,0,277800.0
1,8,10,1,1,1,1,6,0,332500.0
1,8,10,5,7,6,7,3,0,338900.0
1,8,10,6,8,7,8,0,0,287500.0
1,7,8,0,0,0,0,8,0,384600.0
1,7,8,3,5,8,5,2,0,371400.0
1,7,10,1,5,8,6,0,0,350000.0
1,7,10,0,1,5,1,0,0,500001.0
1,7,10,1,3,8,3,0,0,175000.0
1,7,10,6,8,7,8,0,0,241700.0
1,7,6,7,8,7,8,0,0,216700.0
1,7,9,2,3,2,3,3,0,211300.0
1,7,10,7,7,6,8,2,0,210200.0
1,7,10,1,1,0,1,5,0,196400.0
1,7,10,3,3,2,3,5,0,191700.0
1,7,10,1,2,1,2,1,0,182300.0
1,7,8,6,8,6,8,2,0,175000.0
1,7,9,1,2,2,3,2,0,165900.0
1,7,10,3,4,2,4,1,0,156900.0
1,7,10,3,3,2,3,3,0,164300.0
1,7,10,5,5,4,5,2,0,150000.0
1,7,9,5,7,5,7,1,0,150500.0
1,7,10,4,5,3,5,1,0,169900.0
1,7,9,7,7,5,7,1,0,147400.0
1,7,10,5,5,3,5,2,0,152700.0
1,7,9,4,4,3,5,2,0,182700.0
1,7,10,4,4,2,3,4,0,179300.0
1,7,10,7,7,6,7,2,0,157700.0
1,7,8,5,6,5,7,1,0,153100.0
1,7,10,1,2,1,2,2,0,250000.0
1,7,10,0,1,1,0,3,0,206300.0
1,7,10,3,3,2,4,2,0,218800.0
1,7,10,5,6,4,6,1,0,198200.0
1,7,6,8,9,8,9,0,0,253600.0
1,7,10,7,8,6,8,3,0,257400.0
1,7,10,8,8,6,8,3,0,289500.0
1,7,10,6,7,5,6,4,0,241700.0
1,7,9,5,6,7,5,3,0,489600.0
1,7,10,2,1,1,1,9,0,446200.0
1,7,10,3,2,2,2,7,0,456300.0
1,7,10,2,5,3,5,0,0,336800.0
1,7,10,3,1,1,1,9,0,500001.0
1,7,10,8,5,6,6,9,0,500001.0
1,7,10,8,7,5,7,8,0,376900.0
1,7,10,8,8,6,8,4,0,309600.0
1,7,10,8,8,7,8,2,0,182300.0
1,7,9,4,4,2,3,1,0,172700.0
1,7,9,1,2,1,2,1,0,150800.0
1,7,10,4,4,3,4,0,0,153600.0
1,7,10,0,0,0,0,1,0,106300.0
1,7,9,2,2,2,3,0,0,142300.0
1,7,10,0,0,0,0,3,0,119400.0
1,7,8,1,1,1,1,0,0,147900.0
1,7,9,4,5,4,5,1,0,132900.0
1,7,6,4,4,4,5,1,0,132500.0
1,7,10,7,8,7,8,2,0,126900.0
1,7,1,8,9,8,9,6,0,143800.0
1,7,10,7,4,3,4,9,0,500001.0
1,7,7,6,2,2,3,9,0,500001.0
1,7,8,7,3,4,3,9,0,500001.0
1,7,10,7,3,3,3,9,0,500001.0
1,7,10,7,4,3,4,9,0,466100.0
1,7,10,7,4,5,4,9,0,500001.0
1,7,10,3,1,1,1,8,0,457800.0
1,7,10,5,2,3,3,9,0,471600.0
1,7,10,3,1,1,1,9,0,500001.0
1,7,10,8,6,6,6,8,0,398600.0
1,7,10,5,4,4,4,8,0,340700.0
1,7,10,7,6,5,6,8,0,289900.0
1,7,10,5,2,2,3,7,0,335300.0
1,7,10,2,0,0,0,8,0,333000.0
1,7,10,1,1,0,1,2,0,241000.0
1,7,10,0,0,0,0,4,0,189600.0
1,7,10,3,4,3,4,5,0,206300.0
1,7,10,6,6,6,7,3,0,215700.0
1,7,10,1,1,1,1,4,0,210200.0
1,7,10,2,2,2,2,4,0,208800.0
1,7,10,0,0,0,0,6,0,197900.0
1,7,10,1,1,1,1,4,0,201300.0
1,7,10,1,1,1,1,3,0,190800.0
1,7,10,2,2,2,2,2,0,207900.0
1,7,10,1,1,1,2,5,0,215300.0
1,7,8,1,1,2,2,5,0,212900.0
1,7,1,4,6,3,6,8,0,292700.0
1,7,5,8,8,8,8,2,0,275000.0
1,7,8,4,3,8,3,2,0,200000.0
1,7,5,8,5,8,8,2,0,173400.0
1,7,8,1,2,2,2,1,0,102200.0
1,7,10,2,3,3,3,3,0,220800.0
1,7,4,8,8,7,8,5,0,242800.0
1,7,2,6,8,5,7,7,0,265400.0
1,7,9,2,2,2,3,2,0,219000.0
1,7,10,3,3,2,2,3,0,282100.0
1,7,10,5,4,4,5,8,0,372000.0
1,7,10,3,3,3,4,6,0,225800.0
1,7,10,3,5,2,5,2,0,220800.0
1,7,10,5,6,4,6,4,0,234500.0
1,7,10,5,5,3,5,4,0,254200.0
1,7,10,2,2,1,2,7,0,351800.0
1,7,10,3,3,1,3,6,0,275000.0
1,7,10,1,0,0,0,4,0,405400.0
1,7,10,4,5,3,5,3,0,228100.0
1,7,10,3,5,3,6,3,0,234000.0
1,7,8,1,2,1,2,2,0,162500.0
1,7,8,8,8,8,8,3,0,243400.0
1,7,10,7,6,5,6,7,0,273800.0
1,7,10,1,0,0,0,6,0,248500.0
1,7,10,6,6,3,5,4,0,244000.0
1,7,10,3,5,2,5,2,0,240900.0
1,7,10,3,1,1,2,8,0,306300.0
1,7,9,2,2,1,2,6,0,240000.0
1,7,8,1,5,0,0,7,0,247100.0
1,7,4,8,8,6,8,7,0,286600.0
1,7,10,6,6,4,6,3,0,266700.0
1,7,9,5,6,4,6,5,0,229800.0
1,7,10,6,4,4,5,7,0,229300.0
1,7,3,8,8,8,8,7,0,228400.0
1,7,4,4,3,3,4,6,0,206200.0
1,7,0,9,9,9,9,9,0,350700.0
1,7,5,8,9,8,9,4,0,231000.0
1,7,10,6,7,5,7,5,0,252900.0
1,7,4,8,9,8,9,5,0,353900.0
1,7,3,8,8,8,8,7,0,291700.0
1,7,2,1,3,1,3,4,0,100000.0
1,7,1,9,9,9,9,9,0,341600.0
1,7,0,8,5,7,6,9,0,412500.0
1,7,7,7,6,6,6,7,0,248600.0
1,7,8,3,2,2,2,8,0,254900.0
1,7,7,6,5,5,5,7,0,241500.0
1,7,4,7,5,6,6,8,0,295200.0
1,7,5,8,6,6,6,8,0,340400.0
1,7,5,5,3,4,4,8,0,274700.0
1,7,6,5,3,3,4,8,0,238600.0
1,7,6,6,4,4,4,7,0,266400.0
1,7,5,6,3,3,3,8,0,330200.0
1,7,7,8,8,7,8,7,0,206800.0
1,7,4,7,7,6,7,6,0,209200.0
1,7,5,7,7,6,7,5,0,195800.0
1,7,5,3,2,2,2,8,0,253500.0
1,7,5,4,3,3,3,6,0,241800.0
1,7,4,8,8,8,8,8,0,252500.0
1,7,5,3,2,2,2,8,0,263900.0
1,7,7,3,2,2,2,7,0,227000.0
1,7,7,8,7,7,7,7,0,220900.0
1,7,5,6,5,4,4,8,0,259300.0
1,7,7,2,2,1,2,6,0,232500.0
1,7,7,4,2,2,3,7,0,231600.0
1,7,6,8,8,7,8,4,0,209400.0
1,7,5,7,8,6,8,3,0,223200.0
1,7,4,7,8,7,8,4,0,209900.0
1,7,6,8,8,8,8,3,0,208200.0
1,7,5,5,7,4,6,2,0,203800.0
